,Estimate,Std. Error,t value,Pr(>|t|)
eq7_Constante,1.6954373883907259e-01,2.0858377613795034e-03,8.1283281939886848e+01,0.0000000000000000e+00
eq7_y^1,-3.4910884447702684e-02,6.1278334119479385e-03,-5.6971007696837965e+00,1.2274805172296510e-08
eq7_y^2,3.5592883946227640e-03,8.2782671989765841e-03,4.2995572733660825e-01,6.6723025053454155e-01
eq7_y^3,6.8946977119137085e-03,1.0828468262266099e-02,6.3671957519048394e-01,5.2431130218358279e-01
eq7_y^4,-5.3427587465334700e-03,6.0815792927817322e-03,-8.7851501876738280e-01,3.7966976784477491e-01
eq7_y^5,-8.3882327535656238e-03,5.6004007014813697e-03,-1.4977915332641896e+00,1.3419561103892441e-01
eq7_age,-1.2516243871755426e-04,1.1315947257256033e-04,-1.1060712450501868e+00,2.6870258768632471e-01
eq7_hsex,-1.3214105272186003e-02,1.7008679349230431e-03,-7.7690366199912422e+00,7.9936057773011271e-15
eq7_carown,-1.0106847265452590e-01,1.9427296871899933e-03,-5.2023950280346796e+01,0.0000000000000000e+00
eq7_time,-6.8062586338097698e-04,2.9938954109741557e-04,-2.2733788925496046e+00,2.3008834037394843e-02
eq7_tran,-4.1927045168476205e-03,2.6352606966329275e-03,-1.5910018019107708e+00,1.1161737203569566e-01
eq7_y*age,-7.2663015408486856e-05,1.7840510983797527e-04,-4.0729223212540422e-01,6.8379562939648220e-01
eq7_y*hsex,-9.7893826998539778e-03,3.8505845126128907e-03,-2.5423108278205788e+00,1.1016097922103008e-02
eq7_y*carown,4.9545704373746460e-02,5.0823209254438183e-03,9.7486375025441419e+00,0.0000000000000000e+00
eq7_y*time,4.1571070738836177e-04,6.8433743864541288e-04,6.0746451079927088e-01,5.4354626681077667e-01
eq7_y*tran,1.3468648060930274e-02,6.4070317800584498e-03,2.1021665762374919e+00,3.5545157613540823e-02
eq7_pfoodh,-2.3154708356275210e-02,1.0561281075804981e-02,-2.1924147449612650e+00,2.8355530527504280e-02
eq7_pfoodr,-4.1492848915249082e-03,1.0875021423784853e-02,-3.8154268666082547e-01,7.0280270631904385e-01
eq7_prent,-7.7917637680094010e-03,1.0689858610533686e-02,-7.2889306134802101e-01,4.6607150863608893e-01
eq7_poper,-3.0729112783865663e-02,7.6836988461955885e-03,-3.9992604341957643e+00,6.3659159305728963e-05
eq7_pfurn,-1.4498366389484794e-02,9.9361707252534123e-03,-1.4591502894204778e+00,1.4453189735623129e-01
eq7_pcloth,3.3388012704832985e-02,8.4958572135792765e-03,3.9299168836627287e+00,8.5123466645686818e-05
eq7_ptranop,4.0731827208787749e-02,1.1575666317367821e-02,3.5187457976112184e+00,4.3409129282911962e-04
eq7_precr,-9.1080486897988206e-04,1.0389655136244864e-02,-8.7664591079880116e-02,9.3014371891678138e-01
eq7_y*pfoodh,3.2764947305117309e-02,2.4782141680002437e-02,1.3221192796083669e+00,1.8613628131838356e-01
eq7_y*pfoodr,-2.2688632927311218e-02,2.5525126421444090e-02,-8.8887445855116765e-01,3.7407610137229241e-01
eq7_y*prent,2.8691699159273357e-03,2.5257303702823919e-02,1.1359763297325143e-01,9.0955735552062578e-01
eq7_y*poper,2.2722478660139106e-03,1.8332159315957712e-02,1.2394873003509044e-01,9.0135651580443144e-01
eq7_y*pfurn,-9.9337215229833836e-03,2.3402063832728859e-02,-4.2448057547345969e-01,6.7121773800602291e-01
eq7_y*pcloth,1.0878362517981230e-02,2.0265749505558130e-02,5.3678560050284374e-01,5.9141881781905070e-01
eq7_y*ptranop,1.1012045469061059e-02,2.7302498432276032e-02,4.0333471665153597e-01,6.8670424309529543e-01
eq7_y*precr,-3.3237271839690372e-02,2.4512043457697450e-02,-1.3559567931188927e+00,1.7512086024182016e-01
eq7_age*pfoodh,7.5436264507708459e-04,7.3300733292551293e-04,1.0291338315352729e+00,3.0342324881242466e-01
eq7_age*pfoodr,-2.0520270295345367e-04,6.7128867978996133e-04,-3.0568473613715530e-01,7.5984634715209243e-01
eq7_age*prent,-2.1929976578275427e-04,5.5357964918239752e-04,-3.9614853274799083e-01,6.9199764987474421e-01
eq7_age*poper,2.4464385452184592e-04,5.6312850212139316e-04,4.3443699546415115e-01,6.6397356977014299e-01
eq7_age*pfurn,-1.3941054072400298e-03,6.2809467047772439e-04,-2.2195784692452221e+00,2.6453193046816370e-02
eq7_age*pcloth,-6.1459639716072696e-04,6.0978899348422435e-04,-1.0078837167083552e+00,3.1351661731332481e-01
eq7_age*ptranop,8.8519666768331054e-04,6.2178583059803590e-04,1.4236359597193218e+00,1.5455997609285932e-01
eq7_age*precr,7.6785512722687315e-04,7.0522511077394652e-04,1.0888085456630914e+00,2.7624513066346390e-01
eq8_Constante,8.2317989782665232e-02,2.3120940923243385e-03,3.5603217903606726e+01,0.0000000000000000e+00
eq8_y^1,8.4281767825559739e-02,6.7673503225540825e-03,1.2454175387472885e+01,0.0000000000000000e+00
eq8_y^2,2.2538238396717477e-02,8.9968546510787797e-03,2.5051242096052979e+00,1.2244931992506869e-02
eq8_y^3,-4.8990757957130496e-02,1.1766904065643315e-02,-4.1634365066485390e+00,3.1417392353905171e-05
eq8_y^4,-4.4059821475873600e-03,6.6093753193880783e-03,-6.6662610831961089e-01,5.0501497858146527e-01
eq8_y^5,1.6023571486243622e-02,6.0862655213761484e-03,2.6327427599019009e+00,8.4732248474996830e-03
eq8_age,-9.7620426529762864e-04,1.4073524503207532e-04,-6.9364590588174231e+00,4.0838443737811758e-12
eq8_hsex,-2.7409598155234319e-02,1.8492201438012983e-03,-1.4822247230603132e+01,0.0000000000000000e+00
eq8_carown,1.0233340456120428e-02,2.1127840222073791e-03,4.8435336260395010e+00,1.2804445252978525e-06
eq8_time,2.3942922615125694e-04,5.9060812021684370e-04,4.0539440274432686e-01,6.8518987492096284e-01
eq8_tran,-1.2884016495606115e-04,2.8643616385730323e-03,-4.4980411419085597e-02,9.6412315561121331e-01
eq8_y*age,-6.6623391212869735e-04,1.9403086991784857e-04,-3.4336490498175705e+00,5.9614070072067094e-04
eq8_y*hsex,-3.2408812985658300e-02,4.1842202465429100e-03,-7.7454844812328263e+00,9.7699626167013776e-15
eq8_y*carown,3.0304877828981557e-03,5.5255693778411639e-03,5.4844805587839085e-01,5.8338746380407636e-01
eq8_y*time,3.7693884275463512e-04,1.3498984455863165e-03,2.7923496318340824e-01,7.8006601192196445e-01
eq8_y*tran,1.7156688659943739e-03,6.9667581692578811e-03,2.4626502374735534e-01,8.0547839481957251e-01
eq8_pfoodh,-4.3843027399116899e-02,1.7323232127099401e-02,-2.5308803274956730e+00,1.1381609794081982e-02
eq8_pfoodr,2.8177603369749459e-02,1.9660949107283689e-02,1.4331761511610164e+00,1.5181561508850328e-01
eq8_prent,-2.6913311920596608e-02,1.3368236237951085e-02,-2.0132283303157381e+00,4.4097553299690562e-02
eq8_poper,3.1918359651305968e-02,1.2929910732064337e-02,2.4685676732595669e+00,1.3569805800633716e-02
eq8_pfurn,-2.1393015761217687e-02,3.0723757654965440e-02,-6.9630206049227317e-01,4.8624388221658865e-01
eq8_pcloth,2.4234238035526167e-02,1.7312550243782598e-02,1.3998075208029697e+00,1.6157901432149968e-01
eq8_ptranop,-9.1080486897986027e-04,1.0389655136244888e-02,-8.7664591079877813e-02,9.3014371891678316e-01
eq8_precr,-7.9441527262947894e-03,3.0018735370662245e-02,-2.6463982003914555e-01,7.9128835665996666e-01
eq8_y*pfoodh,-5.8451446290534712e-02,4.0008478304186051e-02,-1.4609764921856323e+00,1.4403004514035134e-01
eq8_y*pfoodr,4.4275675371314077e-02,4.4880087434745211e-02,9.8653273427085142e-01,3.2387795346694181e-01
eq8_y*prent,-2.3955413404740621e-02,3.1057115797615806e-02,-7.7133413034379805e-01,4.4051363609178695e-01
eq8_y*poper,5.2159714181982987e-02,3.1071885831197309e-02,1.6786787408189021e+00,9.3222778245917848e-02
eq8_y*pfurn,-2.2753800099427259e-02,7.0475436193783408e-02,-3.2286142985851229e-01,7.4680193927603922e-01
eq8_y*pcloth,1.5987662244160903e-02,4.0133879259816888e-02,3.9835825838466049e-01,6.9036832892167688e-01
eq8_y*ptranop,-3.3237271839691905e-02,2.4512043457697408e-02,-1.3559567931189578e+00,1.7512086024179951e-01
eq8_y*precr,4.6260225184568797e-04,6.9183054229741650e-02,6.6866410712294955e-03,9.9466490669095053e-01
eq8_age*pfoodh,-8.4964077908030941e-04,1.2025976832948178e-03,-7.0650458659832571e-01,4.7987867249467220e-01
eq8_age*pfoodr,-1.9698266768306953e-03,9.6362070906875032e-04,-2.0441929675155586e+00,4.0941269083038190e-02
eq8_age*prent,-1.3116473692643305e-03,7.0872061072867784e-04,-1.8507255883467926e+00,6.4216687596819977e-02
eq8_age*poper,-2.6790524270500836e-04,8.5153475845962923e-04,-3.1461457097726869e-01,7.5305601766590979e-01
eq8_age*pfurn,-2.1330557188110684e-05,9.9106834462615932e-04,-2.1522791343070068e-02,9.8282873423071182e-01
eq8_age*pcloth,9.5994189845958664e-04,1.0253251007016234e-03,9.3623173547853711e-01,3.4915975318690062e-01
eq8_age*ptranop,7.6785512722687261e-04,7.0522511077394760e-04,1.0888085456630889e+00,2.7624513066346501e-01
eq8_age*precr,2.1662238767559089e-03,1.4488018874721541e-03,1.4951829477082619e+00,1.3487489033729050e-01
